description,category,disposal_instruction,common_confusion,material_composition
dry glass vase,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
enormous paper cup,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
multi-colored cotton pen,Miscellaneous Trash,Hazardous items like batteries require special disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
used large glass container,Glass,"Place in glass recycling bin, sorted by color if required.",,"Silica-based material, may contain additives for color or strength."
used enormous Organic plant cuttings,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
folded enormous white tissue paper,Paper,Remove any plastic or metal attachments before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
partial black Budget office paper leaking,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
soiled Budget palm fronds,Vegetation,Place in green waste bin or compost.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
dry regular-sized patterned bread empty,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
soiled food packaging,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
wrinkled fun-sized striped packaging box with product remaining,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
wet Homemade wire hanger,Metal,Remove any non-metal parts if possible.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
clean fun-sized purple Premium food container with contents,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
crumpled large multi-colored bread containing residue,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
blue worn jeans,Textile Trash,Some retailers accept old clothing for recycling.,,"Fabric made from natural or synthetic fibers, may include blends."
clean small spotted composite wool sweater with food residue,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
purple orange peel,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
massive paper towel sealed,Paper,Shred sensitive documents before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
crumpled large Organic water bottle,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
torn fun-sized silver Supermarket newspaper with food residue,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
folded Natural six-pack holder,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
medium blue linen cloth with label attached,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
broken yellow Brand B plastic wrap,Plastic,Plastic bags can be returned to supermarket collection points.,,Polymer materials derived from petrochemicals or plant-based sources.
plastic lid,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
new silver food packaging with liquid inside,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
black bush clippings partially filled,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
wrinkled compact Eco-Friendly beer bottle,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
medium gold Artisanal moving box with product remaining,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
full standard brown tree bark,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
tiny patterned Budget paper cup with contents,Paper,Place in paper recycling bin.,,Cellulose fibers derived from wood pulp or recycled paper.
partial regular-sized patterned Imported yard trimmings,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
